time,vx, vy, vtheta
4.52,0.2304,0,0
4.53,0.2256,0,0
4.54,0.2208,0,0
4.55,0.216,0,0
4.56,0.2112,0,0
4.57,0.2064,0,0
4.58,0.2016,0,0
4.59,0.1968,0,0
4.6,0.192,0,0
4.61,0.1872,0,0
4.62,0.1824,0,0
4.63,0.1776,0,0
4.64,0.1728,0,0
4.65,0.168,0,0
4.66,0.1632,0,0
4.67,0.1584,0,0
4.68,0.1536,0,0
4.69,0.1488,0,0
4.7,0.144,0,0
4.71,0.1392,0,0
4.72,0.1344,0,0
4.73,0.1296,0,0
4.74,0.1248,0,0
4.75,0.12,0,0
4.76,0.1152,0,0
4.77,0.1104,0,0
4.78,0.1056,0,0
4.79,0.1008,0,0
4.8,0.096,0,0
4.81,0.0912,0,0
4.82,0.0864,0,0
4.83,0.0816,0,0
4.84,0.0768,0,0
4.85,0.072,0,0
4.86,0.0672,0,0
4.87,0.0624,0,0
4.88,0.0576,0,0
4.89,0.0528,0,0
4.9,0.048,0,0
4.91,0.0432,0,0
4.92,0.0384,0,0
4.93,0.0336,0,0
4.94,0.0288,0,0
4.95,0.024,0,0
4.96,0.0192,0,0
4.97,0.0144,0,0
4.98,0.0096,0,0
4.99,0.0048,0,0
5,0,0,0
5.01,-0.0048,0,0
5.02,-0.0096,0,0
5.03,-0.0144,0,0
5.04,-0.0192,0,0
5.05,-0.024,0,0
5.06,-0.0288,0,0
5.07,-0.0336,0,0
5.08,-0.0384,0,0
5.09,-0.0432,0,0
5.1,-0.048,0,0
5.11,-0.0528,0,0
5.12,-0.0576,0,0
5.13,-0.0624,0,0
5.14,-0.0672,0,0
5.15,-0.072,0,0
5.16,-0.0768,0,0
5.17,-0.0816,0,0
5.18,-0.0864,0,0
5.19,-0.0912,0,0
5.2,-0.096,0,0
5.21,-0.1008,0,0
5.22,-0.1056,0,0
5.23,-0.1104,0,0
5.24,-0.1152,0,0
5.25,-0.12,0,0
5.26,-0.1248,0,0
5.27,-0.1296,0,0
5.28,-0.1344,0,0
5.29,-0.1392,0,0
5.3,-0.144,0,0
5.31,-0.1488,0,0
5.32,-0.1536,0,0
5.33,-0.1584,0,0
5.34,-0.1632,0,0
5.35,-0.168,0,0
5.36,-0.1728,0,0
5.37,-0.1776,0,0
